log2(C) = 9.000000
log2(g) = -5.000000
accuracy = 0.925207

confusion matrix (absolute)
	1	2	6	7	8	9	10	12	5	19
1	581	3	0	0	0	0	0	0	0	15
2	10	147	1	0	0	0	0	0	2	0
6	1	0	166	0	0	0	3	0	5	1
7	0	0	0	86	3	3	7	1	0	0
8	0	0	0	4	117	0	2	1	0	0
9	0	0	2	3	0	69	18	8	0	0
10	0	0	1	2	2	14	488	7	0	0
12	0	0	0	0	3	3	12	154	0	0
5	1	4	15	0	0	0	0	0	57	5
19	16	0	0	0	0	0	2	0	1	374
